사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
202504,1호선,동대문,650,26,11355,2005,10238,7181,18411,13000,23460,21085,22404,22546,19709,24313,20233,27325,23766,25559,26188,25164,28645,24527,28462,23450,28688,23543,27750,23655,25700,24598,19951,23481,17100,16990,15294,15703,11790,15311,5837,9939,938,3210,3,321,0,0,0,0,20250503
202504,1호선,동묘앞,117,3,2844,819,4206,5444,9689,11943,14749,24759,13307,18094,14237,23546,17570,31601,25944,33246,34013,38191,34957,31610,35594,26132,35644,20749,33684,16225,23222,13632,12138,10159,6565,7170,5325,7084,4032,6901,1426,4897,120,1996,3,267,0,0,0,0,20250503
202504,1호선,서울역,712,48,10654,9668,29272,64058,97455,135373,155399,261969,118203,175970,101213,99755,111940,93828,123452,103297,117973,104909,103738,98240,133507,117364,146929,124624,224563,150853,265929,177855,145082,113988,106271,83004,109218,79024,70750,57048,47363,29252,5212,8018,10,262,0,0,0,0,20250503
202504,1호선,시청,124,5,2267,5900,3888,28761,7841,84305,10722,221985,13612,98129,16118,50987,21365,46047,24832,41519,34064,43954,42289,34289,57005,28728,71682,26400,104360,26880,173376,25784,65359,13532,57800,9715,50460,8268,30570,5761,10163,3763,606,1015,0,15,0,0,0,0,20250503
202504,1호선,신설동,381,18,9393,2330,10420,9020,24157,27668,35224,58781,23404,33582,20553,21548,21651,19042,23634,18847,25558,20872,23825,19441,25654,21232,31004,23226,44020,26227,54387,33422,21579,24093,15311,17267,13836,16766,9620,14437,4128,9416,455,3039,0,0,1,2,0,0,20250503
202504,1호선,제기동,360,2,5371,2495,9893,11107,24329,22620,34844,40718,24509,34079,26293,38686,33022,47956,38598,48415,41275,48961,46694,46751,49372,37762,48422,34984,46159,28603,40490,28995,21934,19051,14143,12771,9163,12097,5775,10103,2523,6377,181,1562,0,0,0,0,0,0,20250503
202504,1호선,종각,111,2,4119,6777,4648,39955,7136,127188,11204,286486,15032,154974,21361,66362,31108,60510,35726,52704,45802,52242,57198,44536,69348,39126,90187,41687,166223,48863,228712,49925,100534,26308,94340,15195,96733,10638,65783,7435,27547,4475,1970,1200,1,2,0,0,0,0,20250503
202504,1호선,종로3가,171,10,3868,2825,4263,13062,6458,30165,10918,71486,15895,66942,23059,58083,33201,67444,45595,64980,50916,60936,60589,53263,69576,46471,77105,44595,92049,43796,96400,45111,59692,25208,55840,14341,58976,11150,41000,8727,19478,6189,2113,2711,3,46,0,0,0,0,20250503
202504,1호선,종로5가,36,1,2144,3717,3339,16961,6526,44798,11147,94804,15653,66599,25153,59526,35310,61374,44335,54852,52882,53995,62178,50463,64666,42089,70216,39263,89895,36571,92908,34315,51324,19779,37497,10875,34104,8179,22363,6328,5893,3871,516,984,0,1,0,1,0,0,20250503
202504,1호선,청량리(서울시립대입구),1021,23,10925,2846,19709,11685,53099,18965,62902,42396,39247,39933,34736,41186,39856,47799,45757,48396,49151,49539,51434,51365,54211,49619,55953,50114,53809,53060,48483,63288,27964,40172,21186,25716,16885,24554,10398,20797,4277,12260,346,4067,0,1,0,0,0,0,20250503
